order_date,region,category,product,customer_type,quantity,unit_price,discount,revenue,salesperson
2025-01-10,East,Office,Desk Chair,Returning,1,179.09,0.0,179.09,Taylor
2025-05-13,West,Home,Storage Box,New,5,25.36,0.0,126.8,Morgan
2025-08-18,South,Home,Air Purifier,New,3,159.77,0.05,455.34,Jamie
2025-12-22,East,Accessories,Phone Stand,New,2,29.63,0.05,56.3,Jamie
2025-06-15,West,Office,Notebook,Returning,1,9.11,0.05,8.65,Taylor
2025-04-22,West,Home,Coffee Maker,Returning,2,129.28,0.0,258.56,Alex
2025-06-21,East,Accessories,Phone Stand,Returning,3,29.79,0.1,80.43,Alex
2025-02-18,East,Accessories,USB Cable,New,2,12.93,0.0,25.86,Morgan
2025-04-07,North,Accessories,USB Cable,Returning,3,12.94,0.0,38.82,Jamie
2025-07-12,North,Office,Stapler,New,1,14.86,0.05,14.12,Alex
2025-04-14,West,Office,Notebook,New,4,8.6,0.0,34.4,Alex
2025-01-25,North,Home,Coffee Maker,New,1,131.81,0.15,112.04,Taylor
2025-09-10,East,Office,Desk Chair,Returning,2,177.79,0.05,337.8,Morgan
2025-12-07,West,Accessories,Phone Stand,Returning,1,29.67,0.1,26.7,Jamie
2025-05-01,East,Electronics,Keyboard,Returning,1,59.23,0.1,53.31,Jamie
2025-09-02,East,Office,Notebook,Returning,1,9.17,0.05,8.71,Sam
2025-02-28,West,Office,Stapler,Returning,4,15.02,0.0,60.08,Jamie
2025-06-01,North,Accessories,Laptop Sleeve,New,1,34.92,0.0,34.92,Sam
2025-09-28,West,Accessories,USB Cable,Returning,3,12.85,0.15,32.77,Alex
2025-09-25,North,Office,Stapler,Returning,1,14.79,0.15,12.57,Sam
2025-08-26,South,Home,Storage Box,Returning,1,24.95,0.0,24.95,Sam
2025-11-08,North,Electronics,Monitor,New,2,217.46,0.15,369.68,Morgan
2025-09-05,North,Home,Desk Lamp,Returning,5,39.9,0.0,199.5,Taylor
2025-03-05,North,Home,Storage Box,New,1,25.54,0.05,24.26,Morgan
2025-06-16,South,Accessories,Mouse Pad,Returning,3,19.13,0.05,54.52,Morgan
2025-03-03,West,Office,Notebook,Returning,1,8.85,0.0,8.85,Sam
2025-05-12,South,Electronics,Headphones,Returning,1,79.44,0.05,75.47,Alex
2025-10-01,North,Electronics,Headphones,Returning,3,82.05,0.0,246.15,Taylor
2025-06-11,East,Electronics,Keyboard,New,1,58.98,0.05,56.03,Taylor
2025-04-05,North,Electronics,Headphones,Returning,5,79.75,0.0,398.75,Alex
2025-01-08,North,Electronics,Monitor,Returning,1,219.37,0.0,219.37,Sam
2025-12-07,East,Home,Air Purifier,New,1,157.51,0.15,133.88,Taylor
2025-12-29,East,Home,Desk Lamp,Returning,5,40.94,0.05,194.46,Taylor
2025-04-15,East,Electronics,Keyboard,Returning,2,60.32,0.2,96.51,Taylor
2025-07-14,East,Home,Storage Box,New,2,25.13,0.2,40.21,Taylor
2025-03-05,North,Home,Storage Box,Returning,1,24.97,0.05,23.72,Jamie
2025-04-30,East,Accessories,Laptop Sleeve,New,1,34.4,0.05,32.68,Morgan
2025-06-21,North,Office,Desk Chair,New,3,177.98,0.05,507.24,Alex
2025-08-02,East,Accessories,Laptop Sleeve,Returning,5,35.87,0.05,170.38,Sam
2025-04-15,South,Home,Coffee Maker,New,2,128.81,0.05,244.74,Jamie
2025-01-17,East,Accessories,USB Cable,Returning,2,12.7,0.0,25.4,Sam
2025-02-22,South,Office,Desk Chair,New,1,181.25,0.0,181.25,Taylor
2025-04-19,East,Accessories,USB Cable,New,3,13.02,0.0,39.06,Jamie
2025-11-24,West,Accessories,Phone Stand,Returning,2,30.22,0.15,51.37,Taylor
2025-06-19,East,Electronics,Webcam,New,2,89.19,0.05,169.46,Sam
2025-02-27,East,Office,Desk Chair,Returning,3,183.0,0.05,521.55,Alex
2025-10-24,North,Home,Storage Box,New,2,25.03,0.15,42.55,Jamie
2025-10-18,East,Electronics,Webcam,New,1,90.08,0.1,81.07,Taylor
2025-02-25,East,Home,Storage Box,New,2,24.91,0.0,49.82,Sam
2025-02-23,East,Accessories,USB Cable,Returning,2,13.31,0.0,26.62,Alex
2025-08-25,East,Electronics,Webcam,Returning,5,90.08,0.1,405.36,Morgan
2025-04-15,East,Office,Whiteboard,Returning,3,70.29,0.05,200.33,
2025-01-30,North,Office,Desk Chair,New,2,178.89,0.05,339.89,Jamie
2025-12-03,South,Electronics,Keyboard,Returning,2,59.83,0.0,119.66,Sam
2025-07-07,South,Electronics,Headphones,New,2,81.42,0.05,154.7,Jamie
2025-01-11,North,Electronics,Keyboard,Returning,1,60.14,0.2,48.11,Sam
2025-06-17,South,Home,Coffee Maker,New,1,133.73,0.05,127.04,Morgan
2025-12-18,West,Electronics,Webcam,Returning,2,88.24,0.1,158.83,Jamie
2025-09-21,North,Electronics,Headphones,Returning,2,81.37,0.1,146.47,Morgan
2025-05-09,East,Accessories,Mouse Pad,Returning,3,19.81,0.0,59.43,Sam
2025-01-25,North,Office,Whiteboard,New,4,70.9,0.1,255.24,Sam
2025-08-05,East,Electronics,Keyboard,Returning,1,59.63,0.15,50.69,Sam
2025-02-12,West,Electronics,Monitor,Returning,4,216.31,0.0,865.24,Jamie
2025-02-02,East,Electronics,Monitor,New,2,223.3,0.0,446.6,Morgan
2025-08-18,South,Office,Notebook,Returning,2,8.96,0.05,17.02,
2025-09-03,West,Office,Notebook,Returning,3,9.14,0.0,27.42,Taylor
2025-11-27,West,Accessories,Phone Stand,Returning,1,29.92,0.0,29.92,Jamie
2025-04-20,North,Electronics,Keyboard,Returning,2,58.88,0.0,117.76,Taylor
2025-05-19,East,Electronics,Headphones,Returning,3,81.32,0.05,231.76,Morgan
2025-09-26,East,Home,Coffee Maker,New,4,130.53,0.0,522.12,Morgan
2025-04-23,North,Home,Storage Box,Returning,4,25.63,0.1,92.27,Jamie
2025-04-27,East,Electronics,Keyboard,Returning,1,59.07,0.0,59.07,Morgan
2025-04-21,North,Home,Storage Box,New,1,25.11,0.0,25.11,Morgan
2025-06-15,East,Accessories,Phone Stand,Returning,3,30.26,0.15,77.16,Morgan
2025-01-14,South,Home,Air Purifier,Returning,3,158.91,0.05,452.89,Taylor
2025-06-02,West,Home,Coffee Maker,New,1,131.72,0.0,131.72,Jamie
2025-01-13,East,Home,Air Purifier,Returning,2,159.51,0.0,319.02,Taylor
2025-12-06,North,Electronics,Monitor,Returning,2,220.96,0.0,441.92,Jamie
2025-10-11,East,Home,Air Purifier,Returning,2,160.05,0.1,288.09,Taylor
2025-09-21,West,Accessories,USB Cable,Returning,2,12.94,0.05,24.59,Sam
2025-02-24,East,Electronics,Monitor,New,2,216.45,0.1,389.61,Alex
2025-11-07,South,Electronics,Webcam,Returning,1,90.52,0.05,85.99,Alex
2025-12-17,North,Electronics,Webcam,Returning,3,92.47,0.0,277.41,Alex
2025-02-22,East,Home,Storage Box,Returning,1,23.89,0.0,23.89,Sam
2025-12-17,North,Accessories,Phone Stand,Returning,1,29.69,0.2,23.75,Morgan
2025-04-22,East,Electronics,Monitor,Returning,3,221.35,0.0,664.05,Jamie
2025-02-18,North,Accessories,Laptop Sleeve,Returning,3,34.57,0.2,82.97,Morgan
2025-01-10,East,Office,Notebook,New,1,8.75,0.05,8.31,Sam
2025-01-06,East,Electronics,Webcam,Returning,4,91.1,0.0,364.4,Sam
2025-01-29,West,Home,Air Purifier,Returning,2,164.27,0.1,295.69,Jamie
2025-05-05,North,Electronics,Keyboard,New,3,61.58,0.1,166.27,Alex
2025-10-04,South,Home,Desk Lamp,New,2,39.92,0.0,79.84,Sam
2025-06-08,South,Office,Notebook,Returning,1,8.9,0.1,8.01,Sam
2025-09-12,East,Office,Whiteboard,Returning,1,70.46,0.1,63.41,Alex
2025-01-17,South,Office,Whiteboard,New,4,70.56,0.0,282.24,Alex
2025-12-17,East,Office,Stapler,New,5,15.08,0.05,71.63,Morgan
2025-01-13,North,Electronics,Keyboard,Returning,2,58.84,0.0,117.68,Jamie
2025-01-26,South,Electronics,Webcam,New,4,89.08,0.0,356.32,Jamie
2025-04-07,South,Electronics,Monitor,Returning,1,216.97,0.0,216.97,Morgan
2025-07-13,West,Home,Air Purifier,Returning,4,161.33,0.15,548.52,Taylor
2025-09-27,North,Electronics,Keyboard,New,1,59.02,0.0,59.02,Morgan
2025-07-14,East,Office,Whiteboard,New,3,69.57,0.05,198.27,Taylor
2025-08-13,West,Home,Desk Lamp,Returning,2,39.41,0.1,70.94,Jamie
2025-03-09,East,Home,Coffee Maker,Returning,1,132.72,,132.72,Taylor
2025-06-15,South,Office,Notebook,Returning,1,9.02,0.05,8.57,Alex
2025-03-01,West,Electronics,Webcam,Returning,1,89.47,0.2,71.58,Alex
2025-12-26,North,Home,Air Purifier,Returning,5,159.95,0.1,719.78,Jamie
2025-07-17,West,Accessories,Phone Stand,New,1,29.71,0.0,29.71,Sam
2025-03-06,West,Office,Notebook,New,4,9.28,0.05,35.26,Morgan
2025-03-23,North,Office,Whiteboard,New,4,68.78,0.0,275.12,Sam
2025-09-12,South,Home,Desk Lamp,Returning,3,39.55,0.0,118.65,Morgan
2025-06-03,North,Electronics,Keyboard,New,3,58.96,0.0,176.88,Jamie
2025-10-05,West,Home,Coffee Maker,New,3,130.91,0.0,392.73,Morgan
2025-05-09,East,Home,Desk Lamp,New,1,39.41,0.1,35.47,Morgan
2025-01-02,East,Accessories,Laptop Sleeve,Returning,4,34.82,0.2,111.42,Jamie
2025-05-06,South,Home,Coffee Maker,Returning,5,133.59,0.0,667.95,Alex
2025-09-20,East,Accessories,Phone Stand,New,1,29.52,0.05,28.04,Morgan
2025-08-03,South,Electronics,Headphones,Returning,5,79.02,0.0,395.1,Taylor
2025-11-18,South,Electronics,Keyboard,New,2,60.15,0.1,108.27,Jamie
2025-02-14,West,Office,Whiteboard,New,4,69.97,0.05,265.89,Taylor
2025-12-13,South,Home,Desk Lamp,Returning,2,39.04,0.05,74.18,Morgan
2025-07-19,West,Electronics,Headphones,New,1,79.12,0.0,79.12,Jamie
2025-12-01,North,Accessories,Mouse Pad,Returning,1,19.92,0.0,19.92,Sam
2025-02-03,West,Accessories,Phone Stand,Returning,1,30.09,0.05,28.59,Taylor
2025-07-14,East,Home,Desk Lamp,Returning,3,38.39,0.15,97.89,Taylor
2025-06-10,East,Office,Whiteboard,New,1,69.43,0.15,59.02,Morgan
2025-02-04,South,Electronics,Webcam,Returning,1,90.21,0.1,81.19,Jamie
2025-01-02,North,Accessories,Laptop Sleeve,Returning,1,35.37,0.15,30.06,Sam
2025-02-26,East,Electronics,Headphones,Returning,2,80.69,0.0,161.38,Sam
2025-04-12,South,Accessories,USB Cable,Returning,2,12.88,0.05,24.47,Jamie
2025-02-12,South,Office,Whiteboard,New,1,70.62,0.0,70.62,Taylor
2025-03-23,West,Electronics,Monitor,Returning,5,220.88,0.1,993.96,Sam
2025-07-04,North,Home,Desk Lamp,Returning,2,39.77,0.05,75.56,Morgan
2025-11-23,East,Home,Storage Box,Returning,3,24.95,0.15,63.62,Morgan
2025-01-19,West,Office,Stapler,New,1,15.1,0.05,14.34,Jamie
2025-07-05,South,Accessories,Mouse Pad,New,4,20.2,0.1,72.72,Taylor
2025-04-17,West,Electronics,Monitor,Returning,4,220.91,0.1,795.28,Morgan
2025-11-07,East,Electronics,Keyboard,Returning,3,60.75,0.0,182.25,Morgan
2025-05-08,South,Electronics,Webcam,Returning,2,93.01,0.0,186.02,Morgan
2025-07-29,East,Home,Air Purifier,New,4,157.69,0.05,599.22,Alex
2025-01-28,North,Electronics,Webcam,Returning,4,88.98,0.15,302.53,Alex
2025-11-30,South,Electronics,Keyboard,Returning,1,58.83,0.0,58.83,Jamie
2025-12-20,South,Home,Air Purifier,New,1,162.31,0.05,154.19,Morgan
2025-09-22,West,Electronics,Monitor,Returning,1,221.1,0.0,221.1,Morgan
2025-09-02,South,Accessories,Phone Stand,Returning,1,29.18,0.05,27.72,Taylor
2025-08-12,West,Office,Notebook,Returning,1,8.97,0.15,7.62,Alex
2025-08-04,West,Home,Desk Lamp,Returning,4,39.58,0.1,142.49,Taylor
2025-04-21,West,Electronics,Headphones,New,1,79.87,0.2,63.9,Sam
2025-03-13,North,Electronics,Monitor,Returning,1,219.11,0.1,197.2,Alex
2025-12-30,South,Office,Notebook,New,2,9.01,,18.02,Taylor
2025-09-10,West,Home,Storage Box,New,3,24.64,0.0,73.92,Alex
2025-07-14,West,Electronics,Webcam,New,2,89.92,0.05,170.85,Jamie
2025-06-10,West,Accessories,Phone Stand,New,5,28.75,,136.56,Sam
2025-08-21,North,Office,Desk Chair,Returning,1,181.71,0.0,181.71,Jamie
2025-03-18,South,Home,Desk Lamp,New,5,39.45,0.05,187.39,Morgan
2025-12-15,West,Office,Whiteboard,New,1,69.93,0.05,66.43,Taylor
2025-11-27,East,Office,Desk Chair,New,1,181.56,0.1,163.4,Sam
2025-02-27,West,Accessories,USB Cable,Returning,1,13.18,0.05,12.52,Jamie
2025-03-15,South,Home,Air Purifier,New,1,158.69,0.15,134.89,Morgan
2025-04-21,West,Electronics,Monitor,Returning,5,219.56,0.1,988.02,Sam
2025-11-07,East,Electronics,Webcam,Returning,2,90.89,0.1,163.6,Taylor
2025-04-22,East,Electronics,Keyboard,Returning,1,61.52,0.0,61.52,Jamie
2025-01-18,North,Home,Storage Box,Returning,1,24.99,0.0,24.99,Sam
2025-07-06,North,Electronics,Keyboard,Returning,2,59.1,0.1,106.38,Alex
2025-03-03,North,Office,Desk Chair,New,2,182.46,0.0,364.92,Morgan
2025-05-24,South,Home,Coffee Maker,Returning,2,129.66,0.0,259.32,Morgan
2025-12-30,East,Accessories,Laptop Sleeve,Returning,5,34.34,0.05,163.12,Taylor
2025-12-28,West,Office,Whiteboard,Returning,2,69.59,0.0,139.18,Alex
2025-07-18,West,Accessories,Phone Stand,Returning,1,29.66,0.15,25.21,Jamie
2025-11-27,East,Electronics,Monitor,Returning,5,218.78,0.05,1039.2,Sam
2025-11-21,West,Home,Coffee Maker,New,1,130.71,0.1,117.64,Alex
2025-10-26,East,Electronics,Webcam,New,1,92.5,0.2,74.0,Jamie
2025-07-30,North,Electronics,Webcam,New,1,92.42,0.15,78.56,Morgan
2025-03-28,West,Electronics,Headphones,New,1,81.62,0.1,73.46,Jamie
2025-01-27,North,Accessories,Phone Stand,New,4,28.94,0.0,115.76,Jamie
2025-05-30,North,Electronics,Headphones,New,4,79.5,0.0,318.0,Jamie
2025-06-21,West,Accessories,Phone Stand,Returning,2,30.1,0.0,60.2,Alex
2025-10-12,South,Accessories,Phone Stand,Returning,5,29.81,0.0,149.05,Taylor
2025-03-13,West,Accessories,Laptop Sleeve,New,1,34.49,0.15,29.32,Taylor
2025-07-16,East,Accessories,Laptop Sleeve,New,4,35.01,0.0,140.04,Taylor
2025-07-16,North,Accessories,USB Cable,New,2,12.62,0.05,23.98,Alex
2025-12-23,East,Electronics,Headphones,Returning,1,79.56,0.05,75.58,Sam
2025-07-25,West,Home,Storage Box,Returning,1,24.65,0.05,23.42,Sam
2025-06-24,North,Office,Whiteboard,Returning,5,69.26,0.05,328.98,Jamie
2025-09-01,South,Home,Storage Box,New,1,24.72,0.2,19.78,Alex
2025-06-11,North,Accessories,Laptop Sleeve,New,2,35.92,0.05,68.25,Morgan
2025-01-07,North,Electronics,Headphones,Returning,1,80.1,0.1,72.09,Taylor
2025-01-04,North,Accessories,Phone Stand,Returning,3,29.65,0.15,75.61,Jamie
2025-08-05,North,Home,Desk Lamp,Returning,1,39.71,0.1,35.74,Morgan
2025-04-01,North,Office,Desk Chair,Returning,1,180.75,0.1,162.68,Sam
2025-04-24,West,Home,Desk Lamp,New,2,40.15,0.0,80.3,Jamie
2025-09-18,North,Electronics,Keyboard,Returning,2,60.65,0.0,121.3,Taylor
2025-09-23,North,Accessories,Mouse Pad,New,1,19.92,0.0,19.92,Alex
2025-03-17,East,Accessories,Laptop Sleeve,New,1,34.87,0.1,31.38,Jamie
2025-07-14,North,Home,Air Purifier,New,1,159.9,0.05,151.9,Alex
2025-11-26,West,Electronics,Webcam,Returning,2,90.11,0.15,153.19,Jamie
2025-05-04,South,Home,Desk Lamp,Returning,2,41.03,0.0,82.06,Jamie
2025-04-15,North,Electronics,Headphones,Returning,5,79.73,0.0,398.65,Sam
2025-06-12,West,Accessories,Mouse Pad,Returning,3,20.09,0.05,57.26,
2025-12-26,West,Accessories,Laptop Sleeve,New,2,35.64,0.15,60.59,Taylor
2025-05-24,East,Office,Stapler,Returning,5,15.53,0.2,62.12,Jamie
2025-11-06,West,Office,Stapler,Returning,1,15.32,0.0,15.32,Jamie
2025-06-15,West,Electronics,Keyboard,Returning,5,59.62,0.05,283.19,Alex
2025-09-12,North,Electronics,Headphones,Returning,1,78.56,0.0,78.56,Morgan
2025-02-11,West,Office,Desk Chair,Returning,2,177.62,0.0,355.24,Taylor
2025-12-31,West,Accessories,USB Cable,Returning,1,12.82,0.0,12.82,Taylor
2025-12-12,East,Electronics,Monitor,Returning,1,218.79,0.05,207.85,Jamie
2025-10-19,North,Electronics,Webcam,Returning,1,91.24,0.05,86.68,Alex
2025-06-28,South,Accessories,Laptop Sleeve,Returning,3,35.0,0.05,99.75,Alex
2025-09-06,North,Electronics,Monitor,Returning,5,218.77,0.1,984.47,Alex
2025-07-16,West,Electronics,Webcam,Returning,1,87.72,0.1,78.95,Taylor
2025-02-13,West,Electronics,Webcam,Returning,2,89.8,0.05,170.62,Morgan
2025-09-21,East,Accessories,Laptop Sleeve,Returning,1,34.16,0.1,30.74,Alex
2025-07-04,South,Electronics,Keyboard,New,2,59.88,0.15,101.8,Morgan
2025-09-28,East,Electronics,Headphones,Returning,5,78.64,0.0,393.2,Alex
2025-01-25,West,Home,Air Purifier,New,1,161.11,0.05,153.05,Taylor
2025-05-29,West,Electronics,Headphones,Returning,1,77.29,0.1,69.56,Alex
2025-05-28,North,Electronics,Headphones,New,4,80.31,0.15,273.05,Sam
2025-01-03,West,Accessories,Laptop Sleeve,New,1,36.22,0.0,36.22,Taylor
2025-07-05,East,Home,Storage Box,New,3,25.18,0.15,64.21,Sam
2025-09-09,East,Electronics,Webcam,New,1,90.67,0.0,90.67,Jamie
2025-02-14,East,Electronics,Keyboard,Returning,5,58.84,0.05,279.49,Alex
2025-05-14,South,Electronics,Monitor,Returning,3,227.06,0.05,647.12,Sam
2025-06-12,East,Electronics,Keyboard,Returning,2,61.53,0.1,110.75,Taylor
2025-05-12,North,Electronics,Monitor,Returning,1,215.66,0.0,215.66,Alex
2025-04-02,West,Accessories,USB Cable,Returning,1,13.07,0.05,12.42,Taylor
2025-03-23,North,Home,Storage Box,New,1,25.14,0.05,23.88,Alex
2025-05-25,North,Office,Notebook,New,5,8.97,0.05,42.61,Alex
2025-06-08,East,Accessories,Laptop Sleeve,New,3,35.93,0.0,107.79,Taylor
2025-07-13,East,Accessories,Mouse Pad,Returning,3,19.87,0.0,59.61,Alex
2025-05-22,South,Home,Air Purifier,New,1,159.79,0.05,151.8,Jamie
2025-02-11,West,Electronics,Keyboard,Returning,1,59.98,0.0,59.98,Taylor
2025-10-27,North,Accessories,USB Cable,Returning,4,13.2,0.0,52.8,Sam
2025-12-14,North,Electronics,Monitor,New,3,219.36,0.0,658.08,Taylor
2025-02-24,North,Accessories,Mouse Pad,Returning,1,20.06,0.05,19.06,Taylor
2025-01-30,East,Electronics,Headphones,Returning,1,80.49,0.05,76.47,Morgan
2025-09-03,East,Electronics,Headphones,New,5,81.58,0.2,326.32,Sam
2025-10-10,West,Home,Desk Lamp,Returning,1,39.72,0.0,39.72,
2025-01-25,North,Accessories,Laptop Sleeve,Returning,1,35.86,0.05,34.07,Sam
2025-05-03,West,Office,Desk Chair,Returning,3,178.12,0.05,507.64,Morgan
2025-05-13,North,Electronics,Monitor,Returning,1,223.38,0.05,212.21,Sam
2025-07-23,West,Home,Storage Box,Returning,5,25.25,0.0,126.25,Morgan
2025-10-07,South,Electronics,Keyboard,Returning,2,60.14,0.05,114.27,Sam
2025-09-06,West,Office,Stapler,Returning,1,15.15,0.0,15.15,Sam
2025-07-10,East,Accessories,Mouse Pad,Returning,2,19.89,0.0,39.78,Morgan
2025-01-01,East,Electronics,Keyboard,Returning,1,60.18,0.05,57.17,Jamie
2025-02-01,North,Home,Storage Box,New,3,25.02,0.0,75.06,Sam
2025-04-19,West,Home,Storage Box,New,1,24.28,0.1,21.85,Alex
2025-02-02,East,Electronics,Headphones,Returning,1,78.78,0.0,78.78,Sam
2025-03-31,East,Home,Storage Box,Returning,2,24.89,0.05,47.29,
2025-05-16,North,Accessories,Mouse Pad,New,3,20.27,0.05,57.77,Alex
2025-02-10,East,Accessories,Mouse Pad,Returning,1,20.07,0.05,19.07,Morgan
2025-06-30,North,Electronics,Keyboard,New,5,60.35,0.1,271.58,Taylor
2025-05-14,South,Accessories,Mouse Pad,New,4,19.8,0.1,71.28,Alex
2025-12-13,North,Electronics,Headphones,Returning,1,81.88,0.05,77.79,Morgan
2025-05-16,East,Home,Storage Box,New,4,25.53,0.15,86.8,Morgan
2025-12-05,East,Office,Stapler,New,4,15.01,0.15,51.03,Taylor
2025-05-25,East,Accessories,Laptop Sleeve,New,1,35.89,0.1,32.3,Jamie
2025-07-03,East,Office,Desk Chair,Returning,2,182.76,0.1,328.97,Alex
2025-11-17,South,Office,Notebook,New,4,9.1,0.15,30.94,Morgan
2025-02-01,East,Accessories,Phone Stand,New,2,29.65,0.0,59.3,Alex
2025-05-29,West,Home,Desk Lamp,Returning,1,41.33,0.1,37.2,Morgan
2025-09-20,West,Home,Storage Box,Returning,1,25.18,0.1,22.66,Taylor
2025-05-01,West,Electronics,Keyboard,Returning,4,60.17,0.0,240.68,Morgan
2025-10-25,East,Electronics,Keyboard,New,2,60.43,0.05,114.82,Taylor
2025-05-19,West,Electronics,Headphones,Returning,1,78.31,0.0,78.31,Alex
2025-07-14,East,Office,Stapler,Returning,1,15.09,0.1,13.58,Alex
2025-09-23,East,Office,Desk Chair,New,2,178.37,0.0,356.74,Alex
2025-04-17,West,Electronics,Monitor,New,1,216.18,0.05,205.37,Taylor
2025-03-06,South,Electronics,Headphones,Returning,4,78.65,0.1,283.14,Alex
2025-12-03,East,Accessories,Mouse Pad,Returning,5,19.98,0.15,84.92,Taylor
2025-04-27,South,Electronics,Monitor,Returning,3,223.2,0.0,669.6,Jamie
2025-10-14,East,Home,Air Purifier,Returning,4,153.83,0.0,615.32,Jamie
2025-10-15,North,Office,Stapler,Returning,1,15.19,0.0,15.19,Morgan
2025-12-18,South,Accessories,Laptop Sleeve,Returning,1,34.48,0.1,31.03,Sam
2025-01-19,South,Home,Coffee Maker,New,1,129.94,0.05,123.44,Alex
2025-08-23,East,Accessories,Laptop Sleeve,Returning,2,35.1,0.05,66.69,Taylor
2025-03-01,East,Electronics,Keyboard,Returning,1,59.06,0.0,59.06,Alex
